date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:46	140308/140308	---M--	200	added ('OK')	image/jpeg	etag:554509ed40483bdd19c82233a1d6b010	http://trystack.mediumra.re/img/cowork-6.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/cowork-6.jpg	(from http://trystack.mediumra.re/home-coworking.html)
23:03:48	246153/246153	---M--	200	added ('OK')	image/jpeg	etag:b512dffdbdc9a1060b2ab387c7737a5a	http://trystack.mediumra.re/img/construction-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/construction-1.jpg	(from http://trystack.mediumra.re/home-construction.html)
23:03:51	183347/183347	---M--	200	added ('OK')	image/jpeg	etag:1d37537fc5c3f19ee6284ff8a1f10c4f	http://trystack.mediumra.re/img/cowork-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/cowork-2.jpg	(from http://trystack.mediumra.re/home-coworking.html)
23:03:57	88676/88676	---M--	200	added ('OK')	image/jpeg	etag:49c6a0381477e12182b3549abf2e2bfc	http://trystack.mediumra.re/img/knowledge-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/knowledge-1.jpg	(from http://trystack.mediumra.re/home-coworking.html)
23:04:01	56903/56903	---M--	200	added ('OK')	image/png	etag:90ba1c174db8b6edc1603d567c197e11	http://trystack.mediumra.re/img/headline-4.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/headline-4.png	(from http://trystack.mediumra.re/home-drone-photography.html)
23:04:06	123051/123051	---M--	200	added ('OK')	image/jpeg	etag:887ce548be286aeb6e87349bdfb7425b	http://trystack.mediumra.re/img/cowork-5.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/cowork-5.jpg	(from http://trystack.mediumra.re/home-coworking.html)
23:04:35	288532/288532	---M--	200	added ('OK')	image/jpeg	etag:b22b66d9758a91a0ac4492c364601ae9	http://trystack.mediumra.re/img/drone-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/drone-1.jpg	(from http://trystack.mediumra.re/home-drone-photography.html)
23:04:36	668/668	---M--	200	added ('OK')	image/png	etag:8e390eee8b08b81be55e4bffb136b35d	http://trystack.mediumra.re/img/flag-2.png	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/flag-2.png	(from http://trystack.mediumra.re/home-drone-photography.html)
23:04:37	243163/243163	---M--	200	added ('OK')	image/jpeg	etag:e7a9125107da3711e061c80969c8769a	http://trystack.mediumra.re/img/drone-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/drone-2.jpg	(from http://trystack.mediumra.re/home-drone-photography.html)
23:04:46	275889/275889	---M--	200	added ('OK')	image/jpeg	etag:4bbe07c1d3e8e54dad797cc9b154a6a7	http://trystack.mediumra.re/img/drone-3.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/drone-3.jpg	(from http://trystack.mediumra.re/home-drone-photography.html)
23:04:58	321520/321520	---M--	200	added ('OK')	image/jpeg	etag:4cc8592b1ab07d7ff12016cb9b9f9b80	http://trystack.mediumra.re/img/drone-4.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/drone-4.jpg	(from http://trystack.mediumra.re/home-drone-photography.html)
23:04:59	134400/134400	---M--	200	added ('OK')	image/jpeg	etag:57d3f5db6ba515a2cdeebd4e620df81d	http://trystack.mediumra.re/img/education-2.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/education-2.jpg	(from http://trystack.mediumra.re/home-education.html)
23:05:00	157487/157487	---M--	200	added ('OK')	image/jpeg	etag:57b4e33a212325c48518294d984882a9	http://trystack.mediumra.re/img/education-1.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/education-1.jpg	(from http://trystack.mediumra.re/home-education.html)
23:05:16	192821/192821	---M--	200	added ('OK')	image/jpeg	etag:06ef5351736fd1b17198f4d24fb1e57f	http://trystack.mediumra.re/img/education-3.jpg	C:/My%20Web%20Sites/Stack/trystack.mediumra.re/img/education-3.jpg	(from http://trystack.mediumra.re/home-education.html)
